"","treatment","metric","value","expt","population"
"148","23","dev_rate",0.142857142857143,1,NA
"149","23","dev_rate",0.166666666666667,1,NA
"150","23","dev_rate",0.117647058823529,1,NA
"151","23","dev_rate",0.125,1,NA
"152","23","dev_rate",0.125,1,NA
"153","23","dev_rate",0.117647058823529,1,NA
"154","23","dev_rate",0.133333333333333,1,NA
"155","23","dev_rate",0.153846153846154,1,NA
"156","23","dev_rate",0.125,1,NA
"157","23","dev_rate",0.125,1,NA
"158","23","dev_rate",0.125,1,NA
"159","23","dev_rate",0.125,1,NA
"160","25","dev_rate",0.153846153846154,1,NA
"161","25","dev_rate",0.117647058823529,1,NA
"162","25","dev_rate",0.153846153846154,1,NA
"163","25","dev_rate",0.125,1,NA
"164","25","dev_rate",0.125,1,NA
"165","25","dev_rate",0.125,1,NA
"166","25","dev_rate",0.153846153846154,1,NA
"167","25","dev_rate",0.133333333333333,1,NA
"168","25","dev_rate",0.142857142857143,1,NA
"169","25","dev_rate",0.142857142857143,1,NA
"170","25","dev_rate",0.117647058823529,1,NA
"171","32","longevity",225,2,NA
"210","32","longevity",172.5,2,NA
"310","32","longevity",193.5,2,NA
"410","32","longevity",154.5,2,NA
"510","32","longevity",250.5,2,NA
"610","32","longevity",229.2,2,NA
"710","34","longevity",183.9,2,NA
"810","34","longevity",252,2,NA
"910","34","longevity",160.5,2,NA
"1010","34","longevity",286.5,2,NA
"1110","34","longevity",217.875,2,NA
"1210","34","longevity",240,2,NA
"1310","36","longevity",200,2,NA
"1410","36","longevity",84,2,NA
"1510","36","longevity",131.7,2,NA
"1610","36","longevity",210.6,2,NA
"172","36","longevity",232.5,2,NA
"181","36","longevity",261.6,2,NA
"191","38","longevity",110,2,NA
"201","38","longevity",168.75,2,NA
"211","38","longevity",216,2,NA
"221","38","longevity",0,2,NA
"231","38","longevity",174,2,NA
"241","38","longevity",225,2,NA
"251","40","longevity",153,2,NA
"261","40","longevity",0,2,NA
"271","40","longevity",129,2,NA
"281","40","longevity",0,2,NA
"291","40","longevity",24,2,NA
"301","40","longevity",0,2,NA
"311","32","fecundity",10.8,2,NA
